PUBLISHER,TOTAL BOOKS,BOOK TITLES
Tarun Publications,53,"Chips and Bits: Information technology outlook,Chips and Bits: Information technology outlook,Chips and Bits: Information technology outlook,Chips and Bits: Information technology outlook,General knowledge,General knowledge,Grammar forever 5,Grammar forever 7,Grammar forever 8,Innovative  social studies,Insight :coursebook 8,Insight 6,Insight 7,Insight 8,Insight english course 5,Maths in minutes,Maths in minutes,Maths in minutes,Maths in minutes,Maths in minutes: a coursebook of mathematics, class 1,Maths in minutes: a coursebook of mathematics, class 2,Maths in minutes: a coursebook of mathematics, class 4,Maths in minutes: a coursebook of mathematics, class 5,Nayi Udaan 3,Nayi Udaan 5,Nayi Udaan 7,Nayi Udaan 8,Nayi Udaan hindi pathmala 4,New search and find :general knowledge,New search and find 4,New search and find 7,New search and find general knowledge 4,New search and find general knowledge 5,New search and find general knowledge 6,New search and find general knowledge 8,The computer express 8,Value ed"
Tata Mcgra Hill Education Pvt. Ltd.,1,"Target chemistry,Class 12"
Tata McGraw Hill Educational Pvt.Ltd.,5,"Biology,Economic,Mathematics,Mathematics,Physics"
Tata McGraw-Hill Publishing Comapany Ltd.,10,"History,History,Mathematics,Primary Science,Question Bank in Science,Question Bank in Science,Question Bank in Social Science,Science,Science,Tata Mcgraw- Hill''s Book of knowledge"
The Book Paradise,1,Junior encyclopedia with awesome facts
Thomas Dunne Books,1,Leadership by example : the ten key principles of all great leaders
Times books,3,"Crossword  80 general knowledge crosswords,Crossword 80 general knowledge crossword,Crossword 80 general knowledge crosswords"
Tiny Tot publications,30,"101 Great Indian Authors and poets,101 Great Indian Monuments,101 great Indian scientists,101 great Indian sports stars,51 stories of Tenaliraman,Best of adventure stories,Best of Arabian Nights,Best of environment stories,Best of facinating stories,Best of fairy land,Best of fairy land,Best of friendship tales,Best of hatim stories,Best of more goodnight stories,Bhagwan Shiv,Children's Big book of Knowledge,Fact Finder Histroy,Fact finder Human body,Fact finder sports,Famous great Indian :?Eminent personalities,Famous great Indian Musicians and dancers,Famous great Indian saints,Famous great Indian: Eminent personalities,Folk tales of Gujarat,Ganesha :the auspicious god,Honesty tales,Joke book,Pathway to Grammar,Shri Krishna Natkhat Nand Gopal,Vaishno Devi : the goddess of trikuta"
Trend Setters Books Ltd,17,"Interaction social science,Interaction textook on social science 7,Interaction:a textbook social studies 6,Magic of maths: class 1,Magic of maths: class 2,Magic of maths: class 8,Scintillating science,Scintillating Science,Scintillating science 6,The fact finder,The fact finder 10,The fact finder 3,The fact finder 4,The fact finder 5,The fact finder 7,The fact finder 8,The fact finder 9"
Trend Settrs Inc.,2,"English: Co- Build,IT whiz Kid: The most Comrehensive Series on Information Technology"
Universal Law publishing,1,"Universal''s guide to L.L.B,23rd ed."
University Press,1,Wing of fire: autobiography
Upkar Prakashan,1,Mcq in Physics
Usborne publishing ltd,2,"Beauty and the Beast,The Dinosaurs next door"
V Connect education,7,"Invisible man,Maths quest 5,Maths quest 6,Maths quest 7,Maths quest 8,Silas marner,Up from slavery, class 11"
V-Connect Education,4,"Destination maths: class 1,Destination maths: class 2,Destination maths: class 5,Destination maths: class 8"
Vidhya Book Distributor,1,Prayojanmulak prashsanik Hindi aur paribhashik shabdawali
Vidya Prakashan Mandir (P) Ltd,24,"CBSE max marks chapterwise question bank Maths 10,CBSE Question Bank physics  term 1 12,CBSE Question bank Science term 1 10,CBSE Sample papers economics term 1- 12,Max marks question bank English 10,Max marks question bank Science 10,Max marks question bank social science 10,Vidya CBSE Question bank term 1 10,Vidya CBSE Sample question papers social science term 1 10,Vidya question bank, accountancy excellent exam navigator 2018, class 12,Vidya question bank, biology: excellent exam navigator 2018, class 12,Vidya question bank, business studies: excellent exam navigator 2018, class 12,Vidya question bank, chemistry excellent exam navigator 2018, class 12,Vidya question bank, communicative english: excellent exam navigator 2018, class 10,Vidya question bank, economics: excellent exam navigator 2018, class 12,Vidya question bank, english core: excellent exam navigator 2018, class 12,Vidya question bank, hindi A: excellent exam navigator 2018, class 10,Vidya question bank, hindi A: excellent exam navigator 2018"
Vijay Goel Publisher,3,"Life and works of India''s firs prime minister: Jawaharlal Nehru,People who changed the world: Mahatma Gandhi,World religion of Vivekananda whose time is now"
Vikas Books Ltd.,70," Environment Education, Environment Education, Environmental Education,Art of drawing,Celebration : A Skill based Course,English Grammar & Composition,English Grammar and Composition,English Grammar and Composition,English Grammar and Composition,English Grammar with activities,English Grammar with activities,Environmental Education,Environmental Education,Environmental Studies,Exploring computer world,Exploring Computer World,Exploring computer world,Exploring Computer world,Geography,Geography,Geography,Get set Social Studies,Get set Social Studies,Get set World Around : a book of Environmental Studies,History and Civics,History and Civics,Indian mythology:birth of ganesha,Lifeline : A Science Textbook,Lifeline : A Science Textbook,LifeLine A Science Book,Map Practice Book,Map Practice Book,Mathematics,Maths in lab,Maths in Lab,Maths in lab,Maths in lab,Maths in Lab : Visulize, Understand, Experience,Mental Maths,Moral Studies : Path of living,Moral Studies : Path of living,Moral Studies : The path of Livin"
Vikas Nooks,1,Hindi vyakaran
Vikas Publishing House Pvt.Ltd.,4,"Freedom at Midnight,Little Women,The Three Musketeers,The Three Musketeers"
Vikranth Publishers,19,"Computer Book,Computer Book,English Activity,English Activity,G. K.,General Science,General Science,Language in Use english Grammar,Mathematics,Social Studies,Social Studies,Social Studies,Social Studies,Social Studies,Social Studies,Social Studies,Social Studies,Social Studies,Vikranth Computer Book"
Vincent Moses Raja,1,Garden of life
Vincent publishers,2,"Complete study science 10,Grammatica : A book of english grammar & Composition"
Vishv Books,42,"Comprehensive english grammar,Cornerstone :integrated social science 6,Cornerstone :integrated social sciences 7,Cornerstone integrated social sciences: class 5,Cornerstone integrated social sciences: class 7,Cornerstone integrated social sciences: class 8,Digital wold computing ICT: class 1,Digital wold computing ICT: class 3,Digital wold computing ICT: class 4,Digital wold computing ICT: class 5,Digital wold computing ICT: class 6,Digital wold computing ICT: class 7,Digital wold computing ICT: class 8,English grammar skills 6,English grammar skills 7,English grammar skills 8,Excel in mathematics: class 7,Excel in mathematics: class 8,Focus science 6,Focus science 7,Focus science 8,Focus science 8,General knowledge  Refresher 5,General Knowledge 3,General knowledge refresher 5,Learning computer: class 4,Learning computer: class 5,Learning computer: class 8,Panchatantra(Hindi),Samanvyee hindi pathamala: class 1,Samanvyee hindi pathamala: class 2,Samanvyee hindi pathamala: class 3,Samanvyee hindi pathamala: cl"
Vishv Books Pvt. Ltd.,14,"Cornerstone Integrated Social Science,Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics,Learning computers,Learning computers,Learning computers,Learning computers,THROUGH THE AGES Social Studies"
Vishv Books Pvt.Ltd.,19,"Everyday Science,Everyday Science,Everyday Science,Everyday Science,Excel in Mathematics,Excel in Mathematics,Excel in Mathematics,Excel in Mathematics,Excel in Mathematics,General Knowledge,General Knowledge,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer"
Vishv Vijay Ptd.Ltd.,1,Art and Craft
Vishvas Publication Pvt.Ltd.,21,"Activities in Mathematics,Biology : Practical Book,chemistry practical Notebook,Chemistry: Practical Based MCQ with Hots Questions,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Loearning Books,Mathematics,Mathematics,Mathematics Laboratory Manual: activities & Project Workbook,Mathematics: Lab Manual,Physics Lab Manual,Physics Practical Note Based MCQ with Hots Questions & Sample Question Ppaers,Physics Practical Note Book,Science: Lab Manual & Practical Skills,Science: Lab Manul & Practical Skills,Social Science"
Vishvas Publications Pvt.Ltd.,6,"Accountancy,Business Studies,Computer Learning Books,English: Grammar and Writing skills,Ultimate book of Accountancy,Ultimate book of Accountancy"
Vishwas Publications,5,"Business Studies; project work,Science, Term-1,Science, Term-2,Science, Term-2,Social science, Term-2"
Vision Publication,3,"Creative Champs : Arts and Craft,Creative Champs, Art and Craft,Different Strokes Cursive Writing Series"
Vission Publications,2,"Aao Vyakaran Sikhe,Full Marks Social Science"
Vista Educational Books,3,"Learning Science,Learning Science,Learning Science"
Viva Education,335," Biology,Chemistry 10,Computer dot com,Computer Science,Computer Science and Information Technology,Early Learners Numbers,English  first, an integrated communication skill course, class 8,English First : A Multi Skill Language Course,English First : A Multi Skill Languages Course,English First : A Multi Skill Languages Course workbook , Class 7,English First : A Multi Skill Languages Course, Class 7,English First : A Multi Skill Languages Course, Literature Reader, Class 7,English First :A multi - skill language course,English first :coursebook 6,English first :supplementary reader 7,English first 5,English first 5,English first 8,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English First Coursebook,English F"
VK Global Publications  pvt.ltd,37,"20+ sample papers science,20+ sample papers social science,ACCOUNTANCY QUESTION BANK,BIOLOGY QUESTION BANK,Business Studies,Business studies 11,CHEMISTRY QUESTION BANK,Economics Project Work,ECONOMICS QUESTION BANK,Indian economic development,Introductory Macro Economics,Introductory Micro Economics,MATHEMATICS QUESTION BANK,PHYSICS QUESTION BANK,Sampe papers Hindi :for 2020 exam,Sample papers English 10:for 2020 exam,Sample papers Mathematics :for 2020 exam,Sample papers Science: for 2020 exam,Xamidea Biology 12,Xamidea Business studies 12,Xamidea Chemistry 12,Xamidea complete course Hindi course B,Xamidea complete course hindi course B 9,Xamidea complete course Sanskrit,Xamidea complete course science 8,Xamidea Economics 12,Xamidea english 10,Xamidea english 2018-19,Xamidea Mathematics 10,Xamidea mathematics 10,Xamidea Mathematics 12,Xamidea Physics 12,Xamidea science 10,Xamidea science 7,Xamidea Social science 10,Xamidea social science 10,Xamidea social science 10"
VK Global Publications Pvt. Ltd.,23,"Business studies: class 11,Indian economic development: class 11,Statistics for economics: class 11,Xam idea accountancy: class 12,Xam idea biology: class 12,Xam idea chemistry: class 12,Xam idea compelete course social science: class 6,Xam idea compelete course social science: class 7,Xam idea compelete course social science: class 8,Xam idea complete cource mathematics: class 6,Xam idea complete cource mathematics: class 7,Xam idea complete cource science: class 6,Xam idea complete cource science: class 7,Xam idea complete cource science: class 8,Xam idea complete course mathematics 2017-18: class 10,Xam idea complete course mathematics 2017-18: class 9,Xam idea complete course science 2017-18: class 10,Xam idea complete course science 2017-18: class 9,Xam idea complete course social science 2017-18: class 10,Xam idea complete course social science 2017-18: class 9,Xam idea english: class 12,Xam idea mathematics: class 12,Xam idea physics: class 12"
